interval_15min,frequency
2021-11-25,14.997530791364614
2021-11-26,17.12795577954427
2021-11-27,6.318311641649306
2021-11-28,0.041267360251736114
2021-11-29,11.997487044388022
2021-11-30,19.801171843702257
2021-12-01,23.574175325733943
2021-12-02,23.544483501651673
2021-12-03,21.975147491232637
2021-12-04,9.006462593033854
2021-12-05,4.980716069442274
2021-12-06,25.214644144713542
2021-12-07,24.824084160390626
2021-12-08,25.57384967396788
2021-12-09,26.620846346375867
2021-12-10,13.48743488466493
2021-12-11,10.5685199665625
2021-12-12,2.2333507016631944
2021-12-13,22.04818565154514
2021-12-14,21.977335004013025
2021-12-15,21.53146270359809
2021-12-16,19.71052086702691
2021-12-17,20.8702083703342
2021-12-18,0.9044314192578126
2021-12-19,0.9424869799045138
2021-12-20,20.944457388805123
2021-12-21,21.412929666671005
2021-12-22,22.26567265790408
2021-12-23,19.650620675060765
2021-12-24,15.39545571892795
2021-12-25,0.31129774492057294
2021-12-26,0.48467448147439235
2021-12-27,17.925086760394965
2021-12-28,19.158051163098957
2021-12-29,18.19321180639323
2021-12-30,19.9180164297092
2021-12-31,12.96380641077691
2022-01-01,0.7548133623263888
2022-01-02,0.38274305313368057
2022-01-03,20.296349785538194
2022-01-04,21.010234307325955
2022-01-05,22.486636437578124
2022-01-06,25.291645082819006
2022-01-07,25.597243895282116
2022-01-08,6.5707986159526905
2022-01-09,3.951315105734809
2022-01-10,28.560021749817707
2022-01-11,28.581805610694445
2022-01-12,27.47585942719705
2022-01-13,28.454266452886287
2022-01-14,28.98311619042535
2022-01-15,7.4035807284765625
2022-01-16,4.031041667733073
2022-01-17,29.05313375592014
2022-01-18,29.26640190763455
2022-01-19,28.186940059891494
2022-01-20,28.205711784612845
2022-01-21,28.878185764904515
2022-01-22,6.408767389049479
2022-01-23,3.490021655828993
2022-01-24,30.14138440644531
2022-01-25,30.566067686935764
2022-01-26,30.685282186792097
2022-01-27,29.88511719986632
2022-01-28,32.379344667139755
2022-01-29,9.423967002456164
2022-01-30,7.167018269633246
2022-01-31,34.37843323383681
2022-02-01,30.303676288398435
2022-02-02,25.476510440473092
2022-02-03,26.66954426963542
2022-02-04,24.21723958590712
2022-02-05,7.233936688884548
2022-02-06,7.10985673694184
2022-02-07,26.637777772248267
2022-02-08,26.658997390620225
2022-02-09,24.138072884800348
2022-02-10,25.129175390672742
2022-02-11,26.828355050101994
2022-02-12,8.601623258337673
2022-02-13,7.729218817477431
2022-02-14,33.088064341158855
2022-02-15,36.670525188350695
2022-02-16,37.44046451998264
2022-02-17,35.64166232554253
2022-02-18,26.489392297261286
2022-02-19,6.434913249548611
2022-02-20,15.744210068469618
2022-02-21,66.03792980023871
2022-02-22,66.21546003635851
2022-02-23,66.02439664373263
2022-02-24,66.3187067960677
2022-02-25,50.92542089248698
2022-02-26,6.700690088815104
2022-02-27,3.4455208015538195
2022-02-28,34.208480866653645
2022-03-01,34.51318142780382
2022-03-02,34.0574653531033
2022-03-03,35.41143659536545
2022-03-04,36.1134548263151
2022-03-05,8.110473096263021
2022-03-06,7.764170952873264
2022-03-07,35.795425357118056
2022-03-08,38.54941423238281
2022-03-09,34.99043847240017
2022-03-10,33.662934205729165
2022-03-11,33.24578570071181
2022-03-12,3.8307812352730033
2022-03-13,3.6917404530251736
2022-03-14,35.7484202650434
2022-03-15,36.26312952335069
2022-03-16,34.701449775868056
2022-03-17,36.20991766712674
2022-03-18,32.91559452536024
2022-03-19,3.6325433650347225
2022-03-20,3.6844270559375
2022-03-21,36.03923620396484
2022-03-22,36.26737423907552
2022-03-23,35.38980906132378
2022-03-24,36.0433334693967
2022-03-25,33.11125440332466
2022-03-26,6.386523445295139
2022-03-27,3.30911028375434
2022-03-28,35.52595941471528
2022-03-29,34.928337780260414
2022-03-30,35.80950109486545
2022-03-31,36.533489790059896
2022-04-01,34.32912330755642
2022-04-02,4.173381057690972
2022-04-03,3.4501562671310766
2022-04-04,36.007391679262156
2022-04-05,35.86703144099696
2022-04-06,36.84342452316407
2022-04-07,36.110907104592016
2022-04-08,33.47421453075955
2022-04-09,6.86782118499132
2022-04-10,9.700377625607638
2022-04-11,35.373724146015626
2022-04-12,35.95723094723959
2022-04-13,34.93049060323351
2022-04-14,35.639878718548175
2022-04-15,31.501614761840276
2022-04-16,3.7343880288919267
2022-04-17,3.5284765940538194
2022-04-18,12.445920175789931
2022-04-19,36.099205788571176
2022-04-20,38.014678927113714
2022-04-21,38.408155529084205
2022-04-22,37.41011300402778
2022-04-23,6.271896755107639
2022-04-24,3.9717491408203127
2022-04-25,38.013672019110246
2022-04-26,39.719722398901474
2022-04-27,12.516527800986111
2022-04-28,36.4739150547743
2022-04-29,42.14485262416884
2022-04-30,2.3950998244878474
2022-05-01,0.32293836689670136
2022-05-02,34.47712259770139
2022-05-03,36.418876137330734
2022-05-04,36.287166048834635
2022-05-05,36.72502620809201
2022-05-06,34.882717224752604
2022-05-07,0.25128037895833333
2022-05-08,0.2778342026779514
2022-05-09,36.33319022787327
2022-05-10,36.985247404448785
2022-05-11,35.84268238166233
2022-05-12,36.42795592909722
2022-05-13,35.663442040685766
2022-05-14,0.26242187287760416
2022-05-15,0.04567274450954861
2022-05-16,36.5318576024349
2022-05-17,37.838229083567704
2022-05-18,35.95967020279948
2022-05-19,36.65867614103299
2022-05-20,34.19086382761372
2022-05-21,1.4325954773177083
2022-05-22,0.4525347219314237
2022-05-23,35.72271265031684
2022-05-24,35.36007825730035
2022-05-25,34.990130230108505
2022-05-26,7.579027876410591
2022-05-27,29.288021025698782
