,Toevoer toren 1,Afvoer toren 1,Afvoer toren 3,Toevoer toren 2,Afvoer toren 2,Toevoer toren 3,Afvoer toren 4,Toevoer toren 5,Afvoer toren 5,Toevoer toren 4,Toevoer toren 7,Toevoer toren 6,Afvoer toren 6,Afvoer toren 7,Afvoer toren 8,Toevoer toren 8,Toevoer bijgebouw,Afvoer bijgebouw,Afvoer vergadercentrum,Toevoer vergardercentrum,Afvoer 1 keuken,Toevoer auditorium,Afvoer auditorium,Toevoer keuken,Afvoer 2 keuken
2021-11-25,0.8668093555430627,0.6667764273408174,0.0,1.0001646410112262,1.0001646410112262,0.0,0.06667764273408175,0.20003292820224525,0.0,0.4000658564044905,0.0,1.2668752119475533,0.6667764273408174,0.0,0.1333552854681635,0.1333552854681635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-26,3.5614290920141,2.685667839879485,0.0,2.39374742250128,2.860820090306408,0.0,0.5254567512807689,1.6347543373179474,0.0,2.568899672928203,0.0,0.7006090017076918,0.3503045008538459,0.0,1.0509135025615377,2.335363339025639,2.2769792555499984,1.6347543373179474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-27,0.15827012922378805,0.15827012922378805,0.0,0.15827012922378805,0.3165402584475761,0.0,1.1078909045665164,3.798483101370913,0.0,4.90637400593743,0.0,1.8992415506854565,1.1078909045665164,0.0,1.2661610337903044,1.5827012922378805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-28,24.232225998946227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-29,3.834136251184125,2.917277582422704,0.0,2.917277582422704,3.4173823108380246,0.0,0.5834555164845407,0.0,0.0,3.000628370491924,0.0,0.0,0.0,0.0,1.7503665494536225,3.3340315227688047,3.1673299466303644,2.333822065938163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-30,2.4746010178980593,1.8180742172312274,0.2525103079487816,1.3130536013336642,1.7170700940517147,0.808032985436101,0.5050206158975632,1.0100412317951264,0.0,2.020082463590253,2.070584525180009,0.8585350470258574,0.45451855430780685,0.3535144311282942,1.3635556629234205,2.4746010178980593,2.222090709949278,1.616065970872202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,2.120964967347944,1.5270947764905196,0.4241929934695888,1.3574175791026841,0.9332245856330954,1.2301596810618076,0.33935439477567103,1.0180631843270131,0.0,1.2301596810618076,2.3330614640827383,1.102901783020931,0.6362894902043832,0.5090315921635066,1.6543526745313963,2.7148351582053682,1.5695140758374786,1.1453210823678897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-02,1.8688029404812958,1.4440749994628195,0.4247279410184763,1.1042926466480383,0.806983087935105,1.1042926466480383,0.4247279410184763,1.0193470584443431,0.0,1.3591294112591241,1.8688029404812958,0.8919286761388002,0.5521463233240191,0.4247279410184763,1.61396617587021,2.548367646110858,2.0811669109905337,1.6564389699720576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-03,1.8202380673876564,1.1376487921172853,0.4550595168469141,1.2741666471713595,0.9101190336938282,1.2741666471713595,0.0,1.0466368887479025,0.0,0.0,2.0477678258111136,0.8646130820091368,0.5005654685316056,0.4550595168469141,1.6837202123335822,2.4573213909733362,2.5028273426580276,2.0477678258111136,0.0,0.0,0.0,0.04550595168469141,0.0,0.0,0.0
2021-12-04,2.3316590484973174,1.2213452158795473,0.8882510660942162,1.6654707489266554,1.2213452158795473,2.1095962819737637,0.0,0.0,0.0,0.0,0.0,0.11103138326177703,0.11103138326177703,0.0,0.0,0.0,2.1095962819737637,2.7757845815444258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,0.0,0.0,0.6023230311010142,0.0,0.0,1.8069690933030425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.613938186606085,5.220132936208789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-06,1.7846771797267114,0.9121683363047636,0.4362544217109739,1.3880822508985533,0.9518278291875794,1.1501252936016584,0.39659492882815806,0.9518278291875794,0.0,1.3880822508985533,2.062293629906422,0.7535303647735003,0.4362544217109739,0.4362544217109739,1.1897847864844742,1.7450176868438956,2.260591094320501,1.863996165492343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-07,1.732188777727837,0.8862361188374981,0.40283459947159,1.409921098150565,0.9265195787846571,1.0876534185732931,0.40283459947159,0.9668030387318161,0.0,1.530771477992042,1.7724722376749962,0.9265195787846571,0.563968439260226,0.44311805941874904,1.127936878520452,1.6919053177806782,2.3767241368823813,1.9738895374107912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-08,2.424351468019733,1.17307329097729,0.39102443032576334,1.407687949172748,0.9384586327818321,1.17307329097729,0.46922931639091603,0.9775610758144084,0.0,1.5640977213030534,1.7596099364659352,0.8993561897492557,0.5474342024560687,0.39102443032576334,1.2121757340098664,1.7987123794985114,2.6198636831826145,2.0333270376939696,0.0,0.0,0.0,0.03910244303257634,0.0,0.0,0.0
