Meter,Mean Daily kWh (2023)
Toevoer toren 1,36.54371584699454
Afvoer toren 1,17.956284153005466
Afvoer toren 3,26.497267759562842
Toevoer toren 2,35.13387978142077
Afvoer toren 2,17.65846994535519
Toevoer toren 3,32.69398907103825
Afvoer toren 4,25.71311475409836
Toevoer toren 5,22.983606557377048
Afvoer toren 5,0.0
Toevoer toren 4,27.256830601092897
Toevoer toren 7,40.59836065573771
Toevoer toren 6,28.237704918032787
Afvoer toren 6,17.387978142076502
Afvoer toren 7,20.34153005464481
Afvoer toren 8,20.0
Toevoer toren 8,32.59289617486339
Toevoer bijgebouw,41.114754098360656
Afvoer bijgebouw,28.92622950819672
Afvoer vergadercentrum,16.6775956284153
Toevoer vergardercentrum,16.53551912568306
Afvoer 1 keuken,16.415300546448087
Toevoer auditorium,32.79234972677595
Afvoer auditorium,27.825136612021858
Toevoer keuken,46.37978142076503
Afvoer 2 keuken,15.592896174863387
