timestamp,Toevoer bijgebouw
2022-03-17,54.0
2022-03-18,45.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,53.0
2022-03-22,55.0
2022-03-23,52.0
2022-03-24,56.0
2022-03-25,49.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,56.0
2022-03-29,59.0
2022-03-30,53.0
2022-03-31,65.0
2022-04-01,49.0
2022-04-02,2.0
2022-04-03,0.0
2022-04-04,58.0
2022-04-05,63.0
2022-04-06,56.0
2022-04-07,61.0
2022-04-08,57.0
2022-04-09,28.0
2022-04-10,0.0
2022-04-11,57.0
2022-04-12,58.0
2022-04-13,56.0
2022-04-14,57.0
2022-04-15,58.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,60.0
2022-04-20,57.0
2022-04-21,59.0
2022-04-22,54.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,59.0
2022-04-26,64.0
2022-04-27,0.0
2022-04-28,54.0
2022-04-29,60.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,54.0
2022-05-03,57.0
2022-05-04,59.0
2022-05-05,54.0
2022-05-06,56.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,57.0
2022-05-10,58.0
2022-05-11,58.0
2022-05-12,57.0
2022-05-13,52.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,59.0
2022-05-17,58.0
2022-05-18,58.0
2022-05-19,62.0
2022-05-20,58.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,56.0
2022-05-24,58.0
2022-05-25,60.0
2022-05-26,0.0
2022-05-27,41.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,55.0
2022-05-31,58.0
2022-06-01,59.0
2022-06-02,62.0
2022-06-03,51.0
2022-06-04,11.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,58.0
2022-06-08,60.0
2022-06-09,48.0
2022-06-10,49.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,57.0
2022-06-14,59.0
2022-06-15,58.0
2022-06-16,60.0
2022-06-17,49.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,56.0
2022-06-21,59.0
2022-06-22,56.0
2022-06-23,57.0
2022-06-24,51.0
2022-06-25,7.0
